area_fips,year,agglvl_code,own_title,industry_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,avg_annual_pay
12109,1990,27,Federal Government,All Industries,11,381,9865613,25893
12109,1990,27,State Government,All Industries,31,1232,24095922,19558
12109,1990,27,Local Government,All Industries,14,2804,59627474,21265
12109,1990,27,Private,All Industries,1879,22229,362614333,16312
12111,1990,26,Total Covered,All Industries,3127,45216,850358246,18806
12111,1990,27,Federal Government,All Industries,21,524,14683257,28021
12111,1990,27,State Government,All Industries,40,1026,20070255,19561
12111,1990,27,Local Government,All Industries,15,5912,137647153,23282
12111,1990,27,Private,All Industries,3050,37754,677957581,17957
12113,1990,26,Total Covered,All Industries,1303,17610,298762521,16965
12113,1990,27,Federal Government,All Industries,16,748,17727493,23699
12113,1990,27,State Government,All Industries,27,524,10182809,19432
12113,1990,27,Local Government,All Industries,14,2849,55530524,19491
12113,1990,27,Private,All Industries,1246,13488,215321695,15963
12115,1990,26,Total Covered,All Industries,9157,115556,2225382080,19258
12115,1990,27,Federal Government,All Industries,19,965,28933043,29982
12115,1990,27,State Government,All Industries,46,1604,32695543,20383
12115,1990,27,Local Government,All Industries,19,10976,262434434,23909
12115,1990,27,Private,All Industries,9073,102010,1901319060,18638
12123,1990,26,Total Covered,All Industries,435,6546,132949499,20310
12123,1990,27,Federal Government,All Industries,5,47,1107290,23559
12123,1990,27,State Government,All Industries,20,218,4383761,20108
12123,1990,27,Local Government,All Industries,9,787,15458925,19642
12123,1990,27,Private,All Industries,401,5494,111999523,20385
12127,1990,26,Total Covered,All Industries,8327,122040,2134030012,17486
12127,1990,27,Federal Government,All Industries,19,1136,35459404,31214
12127,1990,27,State Government,All Industries,51,2688,58963585,21935
12127,1990,27,Local Government,All Industries,31,16394,353361157,21554
12127,1990,27,Private,All Industries,8226,101821,1686245866,16560
12129,1990,26,Total Covered,All Industries,225,2566,44213291,17230
12129,1990,27,Federal Government,All Industries,4,63,1465085,23255
12129,1990,27,State Government,All Industries,19,149,2555020,17147
12129,1990,27,Local Government,All Industries,8,592,10744318,18149
12129,1990,27,Private,All Industries,194,1762,29448868,16713
12131,1990,26,Total Covered,All Industries,502,7776,111062423,14282
12131,1990,27,Federal Government,All Industries,8,95,2158039,22716
12131,1990,27,State Government,All Industries,22,409,8069402,19729
12131,1990,27,Local Government,All Industries,11,1100,19627415,17843
12131,1990,27,Private,All Industries,461,6173,81207567,13155
13025,1990,26,Total Covered,All Industries,132,1286,20649469,16057
13025,1990,27,Federal Government,All Industries,5,28,546533,19519
13025,1990,27,State Government,All Industries,5,36,746276,20729
13025,1990,27,Local Government,All Industries,5,454,6868879,15129
13025,1990,27,Private,All Industries,117,768,12487781,16260
13029,1990,26,Total Covered,All Industries,214,2533,37468176,14792
13029,1990,27,Federal Government,All Industries,4,31,660027,21291
13029,1990,27,State Government,All Industries,9,116,2521336,21735
13029,1990,27,Local Government,All Industries,6,653,9686900,14834
13029,1990,27,Private,All Industries,194,1734,24599913,14186
13039,1990,26,Total Covered,All Industries,508,9237,192555263,20846
13039,1990,27,Federal Government,All Industries,8,820,16380148,19975
13039,1990,27,State Government,All Industries,9,95,1966197,20696
13039,1990,27,Local Government,All Industries,7,1312,21672360,16518
13039,1990,27,Private,All Industries,483,7010,152536558,21759
13049,1990,26,Total Covered,All Industries,150,1763,26826805,15216
13049,1990,27,Federal Government,All Industries,5,51,1212791,23780
13049,1990,27,State Government,All Industries,5,56,1076550,19224
13049,1990,27,Local Government,All Industries,7,415,6666274,16063
13049,1990,27,Private,All Industries,133,1241,17871190,14400
13051,1990,26,Total Covered,All Industries,5277,105707,2246205237,21249
13051,1990,27,Federal Government,All Industries,36,2842,78885092,27756
13051,1990,27,State Government,All Industries,29,3816,92774855,24312
13051,1990,27,Local Government,All Industries,14,8454,179925253,21282
13051,1990,27,Private,All Industries,5198,90595,1894620037,20913
13127,1990,26,Total Covered,All Industries,1946,30351,556653147,18340
13127,1990,27,Federal Government,All Industries,29,1062,36445607,34317
13127,1990,27,State Government,All Industries,19,1322,22168708,16769
13127,1990,27,Local Government,All Industries,7,3928,79269364,20180
13127,1990,27,Private,All Industries,1891,24038,418769468,17421
13179,1990,26,Total Covered,All Industries,500,10022,172261956,17188
13179,1990,27,Federal Government,All Industries,13,3425,71585532,20900
