area_fips,year,agglvl_code,own_title,industry_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,avg_annual_pay
12091,1992,71,Private,"Total, all industries",3575,42095,733837894,17433
12099,1992,70,Total Covered,"Total, all industries",28463,360477,9404198308,26088
12099,1992,71,Federal Government,"Total, all industries",36,3957,149496664,37783
12099,1992,71,State Government,"Total, all industries",82,7575,178874317,23615
12099,1992,71,Local Government,"Total, all industries",83,34615,908688514,26251
12099,1992,71,Private,"Total, all industries",28262,314331,8167138813,25983
12101,1992,70,Total Covered,"Total, all industries",4739,60150,1159953416,19284
12101,1992,71,Federal Government,"Total, all industries",7,543,17986008,33128
12101,1992,71,State Government,"Total, all industries",28,1016,22170023,21824
12101,1992,71,Local Government,"Total, all industries",20,8154,175347083,21506
12101,1992,71,Private,"Total, all industries",4684,50438,944450302,18725
12103,1992,70,Total Covered,"Total, all industries",22174,339432,7685342871,22642
12103,1992,71,Federal Government,"Total, all industries",31,5942,227952687,38364
12103,1992,71,State Government,"Total, all industries",63,4180,94580450,22626
12103,1992,71,Local Government,"Total, all industries",52,28945,697922583,24112
12103,1992,71,Private,"Total, all industries",22028,300364,6664887151,22189
12107,1992,70,Total Covered,"Total, all industries",1041,17325,386406791,22303
12107,1992,71,Federal Government,"Total, all industries",12,165,4777561,28999
12107,1992,71,State Government,"Total, all industries",25,574,12407343,21634
12107,1992,71,Local Government,"Total, all industries",15,3242,74102880,22858
12107,1992,71,Private,"Total, all industries",990,13345,295119007,22115
12109,1992,70,Total Covered,"Total, all industries",2175,28161,542433920,19262
12109,1992,71,Federal Government,"Total, all industries",12,376,10399117,27639
12109,1992,71,State Government,"Total, all industries",31,1181,24415869,20670
12109,1992,71,Local Government,"Total, all industries",12,2883,66802956,23175
12109,1992,71,Private,"Total, all industries",2121,23721,440815978,18583
12111,1992,70,Total Covered,"Total, all industries",3278,44536,927205228,20819
12111,1992,71,Federal Government,"Total, all industries",20,434,16474355,37989
12111,1992,71,State Government,"Total, all industries",40,1032,22086479,21395
12111,1992,71,Local Government,"Total, all industries",16,6267,155731747,24849
12111,1992,71,Private,"Total, all industries",3203,36803,732912647,19914
12113,1992,70,Total Covered,"Total, all industries",1480,19181,367916162,19181
12113,1992,71,Federal Government,"Total, all industries",15,710,19952039,28095
12113,1992,71,State Government,"Total, all industries",27,514,10785688,20970
12113,1992,71,Local Government,"Total, all industries",13,2861,63005516,22024
12113,1992,71,Private,"Total, all industries",1424,15096,274172919,18162
12115,1992,70,Total Covered,"Total, all industries",9396,113319,2397078212,21153
12115,1992,71,Federal Government,"Total, all industries",18,835,30686226,36761
12115,1992,71,State Government,"Total, all industries",46,1561,34154552,21881
12115,1992,71,Local Government,"Total, all industries",21,11206,293036351,26151
12115,1992,71,Private,"Total, all industries",9311,99718,2039201083,20450
12123,1992,70,Total Covered,"Total, all industries",423,6190,136428622,22041
12123,1992,71,Federal Government,"Total, all industries",4,39,1234137,31510
12123,1992,71,State Government,"Total, all industries",22,241,4723088,19564
12123,1992,71,Local Government,"Total, all industries",9,843,17294297,20513
12123,1992,71,Private,"Total, all industries",388,5066,113177100,22340
12127,1992,70,Total Covered,"Total, all industries",8796,121644,2375824908,19531
12127,1992,71,Federal Government,"Total, all industries",21,1112,41965658,37753
12127,1992,71,State Government,"Total, all industries",53,2827,66067494,23369
12127,1992,71,Local Government,"Total, all industries",32,17508,401703898,22944
